,title,date,n_reply,url
0,"윤석열 '후쿠시마'발언에 여야 모두 경악…""日극우세력"", ""공부 좀""(종합)",2021.08.05. 오후 9:27,992,https://n.news.naver.com/mnews/article/003/0010650410?sid=100
1,윤석열 “오로지 능력에 의해서만 인재 발탁”,2022.01.11. 오전 11:55,948,https://n.news.naver.com/mnews/article/020/0003405047?sid=100
2,헝가리 이어 체코 정상도…문대통령 앞에서 연이은 원전발언,2021.11.04. 오후 11:13,927,https://n.news.naver.com/mnews/article/001/0012771743?sid=100
3,"‘탈원전 옹호’ 민주 의원들, 文 퇴임전 해외 원전 출장 논란",2022.06.24. 오후 5:14,899,https://n.news.naver.com/mnews/article/020/0003436307?sid=100
4,작년 1인당 전기사용량 역대 최고-세계 3위…전기요금은 OECD 하위권,2022.06.27. 오전 6:02,886,https://n.news.naver.com/mnews/article/001/0013270215?sid=101
5,"""곳간 비우고, 전기료 누르고""...文정부가 남기고 떠난 숙제",2022.07.29. 오전 6:00,837,https://n.news.naver.com/mnews/article/008/0004776724?sid=101
6,"""탈원전 고집하면 전력 설비 450兆 더 든다""",2021.07.18. 오후 5:37,775,https://n.news.naver.com/mnews/article/015/0004579717?sid=101
7,文대통령 “개도국→선진국 지위 격상 韓 유일…국민 자부심 가져야”,2021.07.06. 오후 4:58,748,https://n.news.naver.com/mnews/article/020/0003368412?sid=100
8,윤 “출생뒤 1년간 월 100만원…코로나 임대료 재정분담 등 추진”,2022.01.11. 오전 10:43,739,https://n.news.naver.com/mnews/article/028/0002575051?sid=100
9,윤석열 “무너진 한미동맹 재건…굴종 아닌 힘에 의한 평화 추구”,2022.01.24. 오전 11:47,709,https://n.news.naver.com/mnews/article/023/0003668325?sid=100
10,"이재명, RE100 공방에 ""국민들이 많은 관심 갖게 돼 다행""",2022.02.05. 오후 1:23,700,https://n.news.naver.com/mnews/article/009/0004917769?sid=100
11,"중앙 중심 에너지 정책에 묻힌 지역 주민들의 삶 [탄소중립 제주, 미리 가 본 미래 ②]",2022.01.06. 오전 6:01,667,https://n.news.naver.com/mnews/article/032/0003120858?sid=102
12,"문대통령 ""명실상부한 선진국으로 인정받아…국민 피땀의 성과""",2021.07.06. 오전 11:16,643,https://n.news.naver.com/mnews/article/001/0012506230?sid=100
13,"尹 ""아이 태어나면 1년간 월100만원""…1천200만원 부모급여 공약",2022.01.11. 오전 10:21,625,https://n.news.naver.com/mnews/article/001/0012909919?sid=100
14,"文대통령 ""명실상부 선진국 인정…국민 피땀으로 이룬 성과""",2021.07.06. 오전 11:33,597,https://n.news.naver.com/mnews/article/448/0000333109?sid=100
15,"[팩트체크] 윤석열 “독, 원전 많은 프랑스서 전기 수입” 진실은?",2022.02.08. 오전 9:31,582,https://n.news.naver.com/mnews/article/028/0002578291?sid=102
16,"월성 폐쇄 공소장을 보니, 산업부는 발버둥치고 있었다 [한삼희의 환경칼럼]",2021.12.29. 오전 12:01,579,https://n.news.naver.com/mnews/article/023/0003662677?sid=110
17,[영상]尹 ‘신천지·무속 논란’ 반복에…보살도 목회자도 “이재명 지지”,2022.02.19. 오전 6:32,571,https://n.news.naver.com/mnews/article/016/0001953180?sid=100
18,"[속보] 문대통령 ""신한울 1·2호기, 신고리 5·6호기 빠른시간 내 정상가동""",2022.02.25. 오후 5:22,563,https://n.news.naver.com/mnews/article/009/0004927330?sid=100
19,"[영상]이재명 ""역대급 비호감 대선 송구…앞으로 네거티브 중단""",2022.01.26. 오전 9:50,545,https://n.news.naver.com/mnews/article/079/0003601504?sid=100
20,"[현장영상] 이재명 ""가장 심각한 문제는 미래가 없다는 것""...청년 소통 행보",2021.11.17. 오후 4:01,531,https://n.news.naver.com/mnews/article/052/0001666234?sid=100
21,"잡스처럼 터틀넥에 무선마이크…李, 테드 연설처럼 비전 설파",2022.01.11. 오후 12:49,529,https://n.news.naver.com/mnews/article/001/0012910534?sid=100
22,이재명 “전 국민 재난지원금 사회 통합 효과!”,2021.09.17. 오전 10:01,507,https://n.news.naver.com/mnews/article/262/0000014791?sid=100
23,"“만점 얼마죠?” “40점… 아, 예 84점” 윤석열 또 주택청약 오답",2022.02.04. 오전 8:02,504,https://n.news.naver.com/mnews/article/022/0003663592?sid=100
24,"[전문]문대통령 ""독일처럼 '한반도 모델' 가능…남북 모두에 큰 이익""",2021.08.15. 오전 11:02,491,https://n.news.naver.com/mnews/article/031/0000618687?sid=100
